,Gene,Transcription Rates mRNA/hr,Key,Value
280,CAJ1,12,,
281,CAK1,28,,
282,CAN1,16,,
283,CAP1,20,,
284,CAP2,20,,
285,CAR1,12,,
286,CAR2,23,,
287,CAT2,#N/A-nc,,
288,CAT8,15,,
289,CBF1,14,,
290,CBF2,19,,
291,CBF5,13,,
292,CBP1,14,,
293,CBP2,#N/A-nc,,
294,CBP3,19,,
295,CBP4,14,,
296,CBP6,20,,
297,CBR1,23,,
298,CBS1,29,,
299,CBS2,16,,
300,CBT1,16,,
301,CCA1,16,,
302,CCC1,15,,
303,CCC2,16,,
304,CCE1,15,,
305,CCH1,30,,
306,CCL1,20,,
307,CCP1,20,,
308,CCR4,15,,
309,CCT2,19,,
310,CCT3,13,,
311,CCT4,17,,
312,CCT5,15,,
313,CCT6,12,,
314,CCT7,14,,
315,CCT8,16,,
316,CDA1,#N/A-nc,,
317,CDA2,27,,
318,CDC1,23,,
319,CDC10,34,,
320,CDC11,16,,
321,CDC12,19,,
322,CDC13,#N/A-nc,,
323,CDC14,11,,
324,CDC15,24,,
325,CDC16,22,,
326,CDC20,16,,
327,CDC21,12.5,,
328,CDC23,#N/A-nc,,
329,CDC24,16,,
330,CDC25,48,,
331,CDC26,9,,
332,CDC27,25,,
333,CDC28,23,,
334,CDC3,19,,
335,CDC31,25,,
336,CDC33,14,,
337,CDC34,26,,
338,CDC36,15,,
339,CDC37,17,,
340,CDC39,38,,
341,CDC4,14,,
342,CDC40,15,,
343,CDC42,13,,
344,CDC43,11,,
345,CDC45,13,,
346,CDC46,23,,
347,CDC47,21,,
348,CDC48,19,,
349,CDC5,13,,
350,CDC50,41,,
351,CDC53,30,,
352,CDC54,17,,
353,CDC55,18,,
354,CDC6,20,,
355,CDC60,12,,
356,CDC7,17,,
357,CDC73,17,,
358,CDC8,12,,
359,CDC9,16,,
360,CDC91,15,,
361,CDC95,13,,
362,CDS1,18,,
363,CEF1,#N/A-nc,,
364,CEG1,26,,
365,CEM1,16,,
366,CEP3,#N/A-nc,,
367,CET1,17,,
368,CFT1,18,,
369,CFT2,16,,
370,CHA1,10,,
371,CHA4,21,,
372,CHC1,19,,
373,CHD1,16,,
374,CHL1,33,,
375,CHL4,21,,
376,CHO1,14,,
377,CHO2,15,,
378,CHS1,26,,
379,CHS2,19,,
380,CHS3,23,,
381,CHS5,18,,
382,CHS6,18,,
383,CIK1,33,,
384,CIN1,19,,
385,CIN2,10,,
386,CIN4,10,,
387,CIN5,22,,
388,CIN8,14,,
389,CIS1,14,,
390,CIS3,13,,
391,CIT1,25,,
392,CIT2,#N/A-se,,
393,CIT3,18,,
394,CKA1,27,,
395,CKA2,17,,
396,CKB1,15,,
397,CKB2,17,,
398,CKI1,14,,
399,CKS1,18,,
400,CLA4,13,,
401,CLB1,11,,
402,CLB2,13,,
403,CLB3,12,,
404,CLB4,20,,
405,CLB5,9,,
406,CLB6,13,,
407,CLC1,23,,
408,CLG1,49,,
409,CLN1,17,,
410,CLN2,10,,
411,CLN3,16,,
412,CLP1,18,,
413,CLU1,11,,
414,CMD1,41,,
415,CMK1,18,,
416,CMK2,35,,
417,CMP2,33,,
418,CNA1,13,,
419,CNB1,17.5,,
420,CNE1,13,,
421,CNM67,15,,
422,COF1,21,,
423,COP1,20,,
424,COQ1,15,,
425,COQ2,16,,
426,COQ3,46,,
427,COQ4,20,,
428,COQ6,19,,
429,COR1,27,,
430,COS1,19,,
431,COS10,#N/A-nc,,
432,COS12,#N/A-se,,
433,COS3,16,,
434,COS4,21,,
435,COS5,18,,
436,COS6,20,,
437,COS7,27,,
438,COS8,20,,
439,COS9,15,,
440,COT1,15,,
441,COX10,11,,
442,COX11,12,,
443,COX12,16,,
444,COX13,27,,
445,COX14,22,,
446,COX15,21,,
447,COX17,16,,
448,COX18,11,,
449,COX4,17,,
450,COX5A,21,,
451,COX5B,18,,
452,COX6,20,,
453,COX7,21,,
454,COX8,14,,
455,COX9,17,,
456,CPA1,22,,
457,CPA2,25,,
458,CPH1,17,,
459,CPR3,15,,
460,CPR6,34,,
461,CPR7,14,,
462,CPR8,16,,
463,CPS1,13,,
464,CPT1,21,,
465,CRD1,23,,
466,CRM1,42,,
467,CRN1,23,,
468,CRS5,26,,
469,CRZ1,20,,
470,CSE1,21,,
471,CSE2,33,,
472,CSE4,15,,
473,CSG2,31,,
474,CSI2,12,,
475,CTA1,17,,
476,CTF13,17,,
477,CTF18,19,,
478,CTF19,14,,
479,CTF8,14,,
480,CTH1,52,,
481,CTH2,42,,
482,CTK1,#N/A-nc,,
483,CTK2,14,,
484,CTK3,18,,
485,CTP1,14,,
486,CTR1,10,,
487,CTR2,17,,
488,CTR3,15,,
489,CTR86,23,,
490,CTR9,16,,
491,CTS1,14,,
492,CTT1,24,,
493,CUE1,16,,
494,CUP1A,22,,
495,CUP1B,22,,
496,CUP2,27,,
497,CUP5,16,,
498,CUP9,10,,
499,CUS1,16,,
500,CUS2,19,,
501,CWH36,38,,
502,CWH41,11,,
503,CWH8,13,,
504,CWP1,9,,
505,CYB2,16,,
506,CYB5,8,,
507,CYC1,10,,
508,CYC2,22,,
509,CYC3,11,,
510,CYC7,19,,
511,CYK2,15,,
512,CYP2,25,,
513,CYP5,16,,
514,CYR1,34,,
515,CYS3,21,,
516,CYS4,12,,
517,CYT1,#N/A-nc,,
518,CYT2,24,,
519,DAK1,20,,
520,DAK2,20,,
521,DAL1,#N/A-nc,,
522,DAL2,12,,
523,DAL3,21,,
524,DAL4,18,,
525,DAL5,14,,
526,DAL7,28,,
527,DAL80,#N/A-nc,,
528,DAL81,15,,
529,DAL82,15,,
530,DAN1,#N/A-nc,,
531,DAP2,32,,
532,DAT1,13,,
533,DBF2,27,,
534,DBF20,21,,
535,DBF4,18,,
536,DBI56,35,,
537,DBI9,44,,
538,DBP1,33,,
539,DBP2,7,,
540,DBP3,9,,
541,DBP5,13,,
542,DBP6,11,,
543,DBP7,14,,
544,DBP8,10,,
545,DBP9,11,,
546,DBR1,11,,
547,DCD1,9,,
548,DCG1,15,,
549,DCP1,12,,
550,DDC1,42,,
551,DDI1,24,,
552,DDR2,#N/A-se,,
553,DDR48,22,,
554,37226,14,,
555,DED1,16,,
556,DED81,15,,
557,DEG1,11,,
558,DEP1,13,,
559,DER1,23,,
560,DFG10,32,,
561,DFG16,20,,
562,DFG5,18,,
563,DFR1,10,,
564,DHH1,25,,
565,DIE2,11,,
