,Gene,Transcription Rates mRNA/hr,Key,Value
1193,LSC2,16,,
1194,LST7,20,,
1195,LST8,28,,
1196,LTE1,15,,
1197,LTP1,20,,
1198,LTV1,15,,
1199,LYP1,15,,
1200,LYS1,19,,
1201,LYS12,12,,
1202,LYS14,18,,
1203,LYS2,19,,
1204,LYS20,11,,
1205,LYS21,12,,
1206,LYS4,16,,
1207,LYS5,18,,
1208,LYS7,12,,
1209,LYS9,13,,
1210,MAC1,17,,
1211,MAD1,28,,
1212,MAD2,15,,
1213,MAD3,16,,
1214,MAF1,17,,
1215,MAG1,14,,
1216,MAK10,#N/A-nc,,
1217,MAK11,11,,
1218,MAK16,10,,
1219,MAK3,16,,
1220,MAK31,36,,
1221,MAK32,19,,
1222,MAK5,13,,
1223,MAL12,19,,
1224,MAL13,#N/A-nc,,
1225,MAL31,#N/A-nc,,
1226,MAL32,23,,
1227,MAL33,36,,
1228,MAM33,17,,
1229,MAP1,15,,
1230,MAP2,20,,
1231,MAS1,26,,
1232,MAS2,20,,
1233,MATALPHA1,#N/A-se,,
1234,MATALPHA2,102,,
1235,MBA1,13,,
1236,MBP1,24,,
1237,MBR1,#N/A-nc,,
1238,MBR3,14,,
1239,MCD1,10,,
1240,MCD4,10,,
1241,MCK1,24,,
1242,MCM1,14,,
1243,MCM16,22,,
1244,MCM2,19,,
1245,MCM21,17,,
1246,MCM22,14,,
1247,MCM3,9,,
1248,MCM6,15,,
1249,MCR1,34,,
1250,MDG1,12,,
1251,MDH1,16,,
1252,MDH2,14,,
1253,MDH3,12,,
1254,MDJ1,46,,
1255,MDJ2,12,,
1256,MDL1,13,,
1257,MDL2,22,,
1258,MDM1,12,,
1259,MDM10,12,,
1260,MDM12,19,,
1261,MDR1,14,,
1262,MDS1,51,,
1263,MDS3,25,,
1264,MEC1,40,,
1265,MEC3,22,,
1266,MED2,18,,
1267,MED4,14,,
1268,MED6,20,,
1269,MED7,14,,
1270,MED8,20,,
1271,MEF1,22,,
1272,MEF2,31,,
1273,MEG1,10,,
1274,MEI4,14,,
1275,MEI5,11,,
1276,MEK1,#N/A-nc,,
1277,MEP1,14,,
1278,MEP2,14,,
1279,MEP3,12,,
1280,MER1,16,,
1281,MER2,34,,
1282,MES1,16,,
1283,MET1,36,,
1284,MET10,42,,
1285,MET12,15,,
1286,MET13,21,,
1287,MET14,12,,
1288,MET16,20,,
1289,MET17,10,,
1290,MET18,15,,
1291,MET2,20,,
1292,MET28,#N/A-nc,,
1293,MET3,#N/A-nc,,
1294,MET30,19,,
1295,MET31,13,,
1296,MET32,#N/A-se,,
1297,MET4,20,,
1298,MET6,11,,
1299,MET8,9,,
1300,MEU1,12,,
1301,MEX67,28,,
1302,MFA1,6,,
1303,MFA2,5,,
1304,MFALPHA1,20,,
1305,MFALPHA2,16,,
1306,MFT1,13,,
1307,MGA1,15,,
1308,MGA2,14,,
1309,MGE1,14,,
1310,MGM1,24,,
1311,MGM101,12,,
1312,MGT1,14,,
1313,MHP1,18,,
1314,MID1,14,,
1315,MID2,26,,
1316,MIF2,20,,
1317,MIG1,16,,
1318,MIG2,16,,
1319,MIH1,18,,
1320,MIP1,13,,
1321,MIP6,9,,
1322,MIR1,16,,
1323,MIS1,11,,
1324,MKK1,21,,
1325,MKK2,18,,
1326,MKS1,18,,
1327,MKT1,17,,
1328,MLC1,18,,
1329,MLH1,19,,
1330,MLP1,23,,
1331,MLS1,18,,
1332,MMD1,13,,
1333,MMM1,27,,
1334,MMS2,35,,
1335,MMS21,#N/A-nc,,
1336,MMT1,16,,
1337,MMT2,21,,
1338,MNE1,16,,
1339,MNN1,11,,
1340,MNN10,13,,
1341,MNN11,13,,
1342,MNN4,18,,
1343,MNN9,11,,
1344,MNR2,24,,
1345,MNS1,12,,
1346,MOB1,23,,
1347,MOB2,21,,
1348,MOD5,16,,
1349,MOL1,28,,
1350,MOT1,17,,
1351,MOT3,10,,
1352,MPA43,22,,
1353,MPD1,11,,
1354,MPD2,14,,
1355,MPP10,10,,
1356,MPS1,23,,
1357,MPT1,16,,
1358,MPT4,15,,
1359,MPT5,#N/A-se,,
1360,MRD1,13,,
1361,MRE11,#N/A-nc,,
1362,MRF1,22,,
1363,MRK1,18,,
1364,MRP1,15,,
1365,MRP13,21,,
1366,MRP17,19,,
1367,MRP2,12,,
1368,MRP20,19,,
1369,MRP21,16,,
1370,MRP4,13,,
1371,MRP49,15,,
1372,MRP51,17,,
1373,MRP8,37,,
1374,MRPL10,17,,
1375,MRPL11,21,,
1376,MRPL13,17,,
1377,MRPL16,28,,
1378,MRPL17,16,,
1379,MRPL19,16,,
1380,MRPL2,17,,
1381,MRPL20,13,,
1382,MRPL23,17,,
1383,MRPL24,17,,
1384,MRPL25,16,,
1385,MRPL27,21,,
1386,MRPL28,20,,
1387,MRPL3,19,,
1388,MRPL31,14,,
1389,MRPL32,36,,
1390,MRPL33,20,,
1391,MRPL35,12,,
1392,MRPL36,24,,
1393,MRPL37,10,,
1394,MRPL38,13,,
1395,MRPL39,16,,
1396,MRPL4,17,,
1397,MRPL40,18,,
1398,MRPL44,14,,
1399,MRPL49,13,,
1400,MRPL6,16,,
1401,MRPL7,16,,
1402,MRPL8,12,,
1403,MRPL9,17,,
1404,MRPS28,17,,
1405,MRPS5,13,,
1406,MRPS9,19,,
1407,MRS1,19,,
1408,MRS2,14,,
1409,MRS3,11,,
1410,MRS4,18,,
1411,MRS5,23,,
1412,MRT4,14,,
1413,MSB1,10,,
1414,MSB2,11,,
1415,MSB3,28,,
1416,MSB4,16,,
1417,MSD1,17,,
1418,MSE1,14,,
1419,MSF1,29,,
1420,MSG5,15,,
1421,MSH1,12,,
1422,MSH2,22,,
1423,MSH3,29,,
1424,MSH4,#N/A-nc,,
1425,MSH5,#N/A-nc,,
1426,MSH6,11,,
1427,MSI1,17,,
1428,MSI4,16,,
1429,MSK1,15,,
1430,MSL1,16,,
1431,MSL5,17,,
1432,MSM1,15,,
1433,MSN1,42,,
1434,MSN2,#N/A-nc,,
1435,MSN4,15,,
1436,MSN5,18,,
1437,MSO1,18,,
1438,MSP1,12,,
1439,MSR1,15,,
1440,MSRA,16,,
1441,MSS1,14,,
1442,MSS11,22,,
1443,MSS116,20,,
1444,MSS18,15,,
1445,MSS2,17,,
1446,MSS4,13,,
1447,MSS51,18,,
1448,MST1,14,,
1449,MSU1,15,,
1450,MSW1,15,,
1451,MSY1,15,,
1452,MTD1,18,,
1453,MTF1,14,,
1454,MTH1,18,,
1455,MTR10,13,,
1456,MTR2,15,,
1457,MTR3,16,,
1458,MTR4,9,,
1459,MUB1,22,,
1460,MUD1,14,,
1461,MUD13,22,,
1462,MUD2,14,,
1463,MUM2,#N/A-nc,,
1464,MUP1,17,,
1465,MUP3,30,,
1466,MUQ1,17,,
1467,MVP1,21,,
1468,MYO1,17,,
1469,MYO2,27,,
1470,MYO3,#N/A-nc,,
1471,MYO4,18,,
1472,MYO5,#N/A-nc,,
1473,NAB2,20,,
1474,NAB3,24,,
1475,NAB4,18,,
1476,NAM1,19,,
1477,NAM2,21,,
1478,NAM7,16,,
1479,NAM8,#N/A-nc,,
1480,NAM9,15,,
1481,NAP1,27,,
1482,NAT1,13,,
1483,NAT2,18,,
1484,NBN1,43,,
1485,NBP1,23,,
1486,NBP2,24,,
1487,NBP35,24,,
1488,NCA1,20,,
1489,NCA2,16,,
1490,NCA3,20,,
1491,NCB2,9,,
1492,NCE102,34,,
1493,NCE103,#N/A-se,,
1494,NCE4,16,,
1495,NCP1,13,,
1496,NCR1,20,,
1497,NDC1,17,,
1498,NDI1,#N/A-nc,,
1499,NDJ1,#N/A-nc,,
1500,NDT80,13,,
1501,NEO1,15,,
1502,NFI1,#N/A-nc,,
1503,NFS1,57,,
1504,NGG1,11,,
1505,NGR1,99,,
1506,NHA1,18,,
1507,NHP10,15,,
1508,NHP2,11,,
1509,NHP6A,11,,
1510,NHX1,18,,
1511,NIC96,20,,
1512,NIF3,17,,
1513,NIP100,18,,
1514,NIP29,16,,
1515,NIP7,10,,
1516,NIT1,17,,
1517,NIT2,15,,
1518,NIT3,18,,
1519,NMD2,21,,
1520,NMD3,11,,
1521,NMD4,23,,
1522,NMD5,16,,
1523,NMT1,16,,
1524,NNF1,11,,
1525,NOP1,11,,
1526,NOP2,12,,
1527,NOP4,13,,
1528,NOP5,14,,
1529,NOP56,12,,
1530,NOT3,18,,
1531,NPL3,14,,
1532,NPL4,36,,
1533,NPL6,16,,
1534,NPR1,22,,
1535,NPR2,19,,
1536,NPT1,16,,
1537,NRD1,19,,
1538,NRK1,21,,
1539,NRP1,11,,
1540,NSP1,15,,
1541,NSR1,10,,
1542,NTA1,24,,
1543,NTC20,14,,
1544,NTF2,19,,
1545,NTG1,31,,
1546,NTG2,17,,
1547,NTH1,40,,
1548,NTH2,14,,
1549,NUC1,12,,
1550,NUC2,16,,
1551,NUD1,14,,
1552,NUF1,26,,
1553,NUF2,#N/A-nc,,
1554,NUM1,48,,
1555,NUP1,12,,
1556,NUP100,13,,
1557,NUP116,18,,
1558,NUP120,13,,
1559,NUP133,24,,
1560,NUP145,13,,
1561,NUP157,23,,
1562,NUP159,15,,
1563,NUP170,16,,
1564,NUP188,20,,
1565,NUP2,14,,
1566,NUP42,18,,
1567,NUP49,16,,
1568,NUP57,16,,
1569,NUP82,13,,
1570,NUP84,15,,
1571,NUP85,20,,
1572,NUT1,22,,
1573,NUT2,#N/A-nc,,
1574,NYV1,23,,
1575,OAF1,15,,
1576,OCH1,17,,
1577,OGG1,11,,
1578,OLE1,12,,
1579,OM45,38,,
1580,OPI1,17,,
1581,OPI3,20,,
1582,OPY1,20,,
1583,OPY2,29,,
1584,ORC1,19,,
1585,ORC2,21,,
1586,ORC3,11,,
1587,ORC4,19,,
1588,ORC5,20,,
1589,ORC6,#N/A-nc,,
1590,ORM1,19,,
1591,OSH1,17,,
1592,OSM1,13,,
1593,OST1,19,,
1594,OST2,17,,
1595,OST3,17,,
1596,OST4,17,,
1597,OST6,10,,
1598,OXA1,11,,
1599,OYE2,16,,
1600,OYE3,23,,
1601,PAB1,14,,
1602,PAC1,19,,
1603,PAC10,11,,
1604,PAC11,10,,
1605,PAC2,13,,
1606,PAD1,#N/A-nc,,
1607,PAF1,22,,
1608,PAI3,18,,
1609,PAK1,25,,
1610,PAM1,15,,
1611,PAN1,14,,
1612,PAN2,15,,
1613,PAN3,20,,
1614,PAP1,15,,
1615,PAT1,28,,
1616,PAU1,21,,
1617,PAU2,26,,
1618,PAU3,25,,
1619,PAU4,22,,
1620,PAU5,32,,
1621,PAU6,21,,
1622,PAU7,20,,
1623,PBI2,11,,
1624,PBN1,74,,
1625,PBP1,34,,
1626,PBS2,12,,
1627,PCA1,27,,
1628,PCF11,22,,
1629,PCH1,9,,
1630,PCH2,12,,
1631,PCK1,30,,
1632,PCL1,12,,
1633,PCL10,#N/A-nc,,
1634,PCL2,14,,
1635,PCL5,29,,
1636,PCL6,16,,
1637,PCL7,20,,
1638,PCL8,16,,
1639,PCL9,15,,
1640,PCM1,15,,
1641,PCT1,18,,
1642,PDA1,21,,
1643,PDB1,24,,
1644,PDC1,16,,
1645,PDC2,#N/A-nc,,
1646,PDC5,16,,
1647,PDC6,15,,
1648,PDE1,20,,
1649,PDE2,23,,
1650,PDI1,21,,
1651,PDR1,17,,
1652,PDR10,14,,
1653,PDR11,22,,
1654,PDR12,32,,
1655,PDR13,19,,
1656,PDR15,11,,
1657,PDR3,20,,
1658,PDR5,14,,
1659,PDR6,#N/A-nc,,
1660,PDS1,15,,
1661,PDX1,16,,
1662,PDX3,21,,
1663,PEA2,12,,
1664,PEL1,#N/A-nc,,
1665,PEP1,16,,
1666,PEP11,16,,
1667,PEP12,25,,
1668,PEP3,15,,
1669,PEP4,18,,
1670,PEP5,14,,
1671,PEP7,#N/A-nc,,
1672,PEP8,20,,
1673,PES4,11,,
1674,PET100,20,,
1675,PET111,21,,
1676,PET112,#N/A-nc,,
1677,PET117,17,,
1678,PET122,#N/A-nc,,
1679,PET123,20,,
1680,PET127,15,,
1681,PET130,#N/A-nc,,
1682,PET18,56,,
1683,PET191,13,,
1684,PET309,#N/A-nc,,
1685,PET494,15,,
1686,PET54,23,,
1687,PET56,15,,
1688,PET8,16,,
1689,PET9,17,,
1690,PETCR46,16,,
1691,PEX1,24,,
1692,PEX10,21,,
1693,PEX11,12,,
1694,PEX12,15,,
1695,PEX13,21,,
1696,PEX14,16,,
1697,PEX15,19,,
1698,PEX17,#N/A-nc,,
1699,PEX19,22,,
1700,PEX2,12,,
1701,PEX3,25,,
1702,PEX4,14,,
1703,PEX5,23,,
1704,PEX6,14,,
1705,PEX7,22,,
1706,PEX8,18,,
1707,PFD1,15,,
1708,PFD2,12,,
1709,PFD4,11,,
1710,PFD5,15,,
1711,PFK1,14,,
1712,PFK2,13,,
1713,PFK26,#N/A-nc,,
1714,PFK27,14,,
1715,PFY1,24,,
1716,PGD1,#N/A-nc,,
1717,PGI1,18,,
1718,PGK1,20,,
1719,PGL1,16,,
1720,PGM1,13,,
1721,PGM2,#N/A-nc,,
1722,PHA2,15,,
1723,PHB1,18,,
1724,PHB2,22,,
1725,PHD1,31,,
1726,PHO11,12,,
1727,PHO12,13,,
1728,PHO13,15,,
1729,PHO2,46,,
1730,PHO23,17,,
1731,PHO3,8,,
1732,PHO4,13,,
1733,PHO5,12,,
1734,PHO8,15,,
1735,PHO80,23,,
1736,PHO81,11,,
1737,PHO84,7,,
1738,PHO85,22,,
1739,PHO86,15,,
1740,PHO87,24,,
1741,PHO88,15,,
1742,PHR1,16,,
1743,PIF1,11,,
1744,PIG1,18,,
1745,PIG2,27,,
1746,PIK1,16,,
1747,PIM1,17,,
1748,PIP2,22,,
1749,PIR1,17,,
1750,PIR3,#N/A-se,,
1751,PIS1,12,,
1752,PKC1,#N/A-nc,,
1753,PKR1,17,,
1754,PLB1,22,,
1755,PLC1,12,,
1756,PMA1,17,,
1757,PMA2,15,,
1758,PMC1,21,,
1759,PMD1,20,,
1760,PMI40,11,,
1761,PMR1,25,,
1762,PMS1,13,,
1763,PMT1,14,,
1764,PMT2,14,,
1765,PMT3,11,,
1766,PMT4,10,,
1767,PMT5,15,,
1768,PMT6,38,,
1769,PMU1,12,,
1770,PNT1,17,,
1771,POB1,15,,
1772,POB3,19,,
1773,POL1,10,,
1774,POL12,#N/A-nc,,
1775,POL2,15,,
1776,POL3,17,,
1777,POL30,13,,
1778,POL32,12,,
1779,POL4,55,,
1780,POL5,9,,
1781,POM152,13,,
1782,POP1,15,,
1783,POP2,17,,
1784,POP3,11,,
1785,POP4,15,,
1786,POP7,16,,
1787,POR1,16,,
1788,POR2,11,,
1789,POS5,33,,
1790,POT1,33,,
1791,POX1,#N/A-se,,
1792,PPA1,19,,
1793,PPA2,11,,
1794,PPG1,17,,
1795,PPH21,31,,
1796,PPH22,17,,
1797,PPH3,13,,
1798,PPR1,21,,
1799,PPS1,15,,
1800,PPT1,10,,
1801,PPT2,24,,
1802,PPX1,13,,
1803,PPZ1,#N/A-nc,,
1804,PPZ2,18,,
1805,PRB1,25,,
1806,PRC1,17,,
1807,PRD1,#N/A-se,,
1808,PRE1,19,,
1809,PRE10,24,,
1810,PRE2,19,,
1811,PRE3,16,,
1812,PRE4,17,,
1813,PRE5,19,,
1814,PRE6,17,,
1815,PRE7,25,,
1816,PRE8,22,,
1817,PRE9,18,,
1818,PRI1,13,,
1819,PRI2,13,,
1820,PRK1,21,,
1821,PRO1,14,,
1822,PRO2,12,,
1823,PRO3,25,,
1824,PRP11,17,,
1825,PRP16,14,,
1826,PRP18,43,,
1827,PRP19,14,,
1828,PRP2,15,,
1829,PRP21,15,,
1830,PRP22,16,,
1831,PRP24,13,,
1832,PRP28,18,,
1833,PRP31,10,,
1834,PRP38,15,,
1835,PRP39,13,,
1836,PRP4,20,,
1837,PRP40,21,,
1838,PRP42,13,,
1839,PRP43,11,,
1840,PRP5,25,,
1841,PRP6,11,,
1842,PRP8,38,,
1843,PRP9,#N/A-nc,,
1844,PRPS1,13,,
1845,PRPS2,14,,
1846,PRPS3,13,,
1847,PRPS4,14,,
1848,PRPS5,14,,
1849,PRT1,16,,
1850,PRY1,12,,
1851,PRY2,11,,
1852,PRY3,9,,
1853,PSA1,10,,
1854,PSD1,13,,
1855,PSD2,37,,
1856,PSO2,29,,
1857,PSP2,#N/A-nc,,
1858,PSU1,30,,
1859,PTA1,22,,
1860,PTC1,16,,
1861,PTC2,13,,
1862,PTC3,22,,
1863,PTK1,14,,
1864,PTK2,#N/A-nc,,
1865,PTM1,33,,
1866,PTP1,19,,
1867,PTP2,37,,
1868,PTP3,16,,
1869,PTR2,13,,
1870,PTR3,12,,
1871,PUB1,13,,
1872,PUP1,32,,
1873,PUP2,21,,
1874,PUP3,21,,
1875,PUR5,32,,
1876,PUS1,15,,
1877,PUS2,#N/A-nc,,
1878,PUS4,11,,
1879,PUT1,35,,
1880,PUT2,18,,
1881,PUT3,12,,
1882,PUT4,17,,
1883,PWP1,12,,
1884,PWP2,15,,
1885,PXA1,26,,
1886,PXA2,16,,
1887,PYC1,19,,
1888,PYC2,13,,
1889,PYK1,18,,
1890,PYK2,12,,
1891,QCR10,28,,
1892,QCR2,26,,
1893,QCR6,12,,
1894,QCR7,26,,
1895,QCR8,21,,
1896,QCR9,25,,
1897,QRI1,16,,
1898,QRI2,14,,
1899,QRI5,24,,
1900,QRI7,9,,
1901,RAD1,17,,
1902,RAD10,23,,
1903,RAD14,#N/A-nc,,
1904,RAD16,22,,
1905,RAD17,18,,
1906,RAD18,27,,
1907,RAD2,13,,
1908,RAD23,13,,
1909,RAD24,21,,
1910,RAD26,33,,
1911,RAD27,10,,
1912,RAD28,14,,
1913,RAD3,39,,
1914,RAD30,12,,
1915,RAD4,20,,
1916,RAD5,17,,
1917,RAD50,21,,
1918,RAD51,13,,
1919,RAD52,19,,
1920,RAD54,18,,
1921,RAD55,18,,
1922,RAD57,13,,
1923,RAD59,18,,
1924,RAD6,30,,
1925,RAD7,#N/A-nc,,
1926,RAD9,#N/A-nc,,
1927,RAM1,12,,
1928,RAM2,12,,
1929,RAP1,12,,
1930,RAS1,10,,
1931,RAS2,13,,
1932,RAT1,14,,
1933,RBK1,90,,
1934,RBL2,11,,
1935,RCA1,15,,
1936,RCE1,11,,
1937,RCK1,16,,
1938,RCK2,35,,
1939,RCS1,30,,
1940,RDH54,21,,
1941,RDI1,16,,
1942,REB1,18,,
1943,REC102,#N/A-nc,,
1944,REC104,#N/A-nc,,
1945,REC114,41,,
1946,RED1,25,,
1947,REF2,39,,
1948,REG1,28,,
1949,REG2,20,,
1950,RER1,18,,
1951,RET1,18,,
1952,RET2,19,,
1953,RET3,16,,
1954,REV1,10,,
1955,REV3,18,,
1956,REV7,7,,
1957,RFA1,15,,
1958,RFA2,19,,
1959,RFA3,12,,
1960,RFC1,14,,
1961,RFC2,11,,
1962,RFC3,16,,
1963,RFC4,11,,
1964,RFC5,19,,
1965,RFT1,13,,
1966,RFX1,#N/A-nc,,
1967,RGA1,32,,
1968,RGA2,23,,
1969,RGM1,#N/A-nc,,
1970,RGP1,16,,
1971,RGR1,19,,
1972,RGT1,21,,
1973,RGT2,14,,
1974,RHC18,15,,
1975,RHK1,13,,
1976,RHO1,19,,
1977,RHO2,16,,
1978,RHO3,13,,
1979,RHO4,15,,
1980,RIB1,16,,
1981,RIB2,18,,
1982,RIB3,13,,
1983,RIB4,13,,
1984,RIB5,33,,
1985,RIB7,17,,
1986,RIC1,16,,
1987,RIF1,#N/A-nc,,
1988,RIF2,26,,
1989,RIM1,18.5,,
1990,RIM101,16,,
1991,RIM13,22,,
1992,RIM15,39,,
1993,RIM2,14,,
1994,RIM9,#N/A-nc,,
1995,RIO1,11,,
1996,RIP1,15,,
1997,RIS1,13,,
1998,RIT1,15,,
1999,RKI1,6,,
2000,RLF2,#N/A-nc,,
2001,RLM1,19,,
2002,RLP7,10,,
2003,RLR1,18,,
2004,RME1,11,,
2005,RML2,14,,
2006,RMS1,13,,
2007,RNA1,15,,
2008,RNA12,21,,
2009,RNA14,19,,
2010,RNA15,18,,
2011,RNH1,14,,
2012,RNH35,21,,
2013,RNH70,15,,
2014,RNP1,18,,
2015,RNR1,8,,
2016,RNR2,10,,
2017,RNR3,18,,
2018,RNR4,21,,
2019,RNT1,9,,
2020,ROD1,26,,
2021,ROK1,9,,
2022,ROM1,26,,
2023,ROM2,18,,
2024,ROT2,22,,
2025,ROX1,27,,
2026,ROX3,14,,
2027,RPA12,8,,
2028,RPA135,9,,
2029,RPA14,13,,
2030,RPA190,11,,
2031,RPA34,11,,
2032,RPA43,11,,
2033,RPA49,10,,
2034,RPB10,16,,
2035,RPB11,17,,
2036,RPB2,26,,
2037,RPB3,18,,
2038,RPB4,17,,
2039,RPB5,13,,
2040,RPB6,13,,
2041,RPB7,17,,
2042,RPB8,11,,
2043,RPB9,20,,
2044,RPC10,16,,
2045,RPC19,12,,
2046,RPC25,12,,
2047,RPC31,10,,
2048,RPC34,7,,
2049,RPC40,12,,
2050,RPC53,10,,
2051,RPC82,13,,
2052,RPD3,17,,
2053,RPE1,21,,
2054,RPI1,15,,
2055,RPL10,17,,
2056,RPL11A,13,,
2057,RPL11B,12.5,,
2058,RPL12A,12,,
2059,RPL12B,11,,
2060,RPL13A,12,,
2061,RPL13B,12,,
2062,RPL14A,12,,
2063,RPL14B,14,,
2064,RPL15A,13,,
2065,RPL15B,23,,
2066,RPL16A,8,,
2067,RPL16B,13,,
2068,RPL17A,11,,
2069,RPL17B,12,,
2070,RPL18A,13,,
2071,RPL18B,13,,
2072,RPL19A,14,,
2073,RPL19B,14.5,,
2074,RPL1A,16,,
2075,RPL1B,16,,
2076,RPL20A,12,,
2077,RPL20B,13,,
2078,RPL21A,12,,
2079,RPL21B,16,,
2080,RPL22A,14,,
2081,RPL23A,14,,
2082,RPL23B,14,,
2083,RPL24A,11,,
2084,RPL24B,13,,
2085,RPL25,13,,
2086,RPL26A,11,,
2087,RPL26B,14,,
2088,RPL27A,15,,
2089,RPL27B,10,,
2090,RPL28,15,,
2091,RPL2B,12,,
2092,RPL3,14,,
2093,RPL30,15,,
2094,RPL31A,16,,
2095,RPL31B,11.3,,
2096,RPL32,13,,
2097,RPL33A,15,,
2098,RPL33B,12.5,,
2099,RPL34A,11,,
2100,RPL34B,14,,
2101,RPL35A,14,,
2102,RPL35B,14,,
2103,RPL36A,14,,
2104,RPL37A,14,,
2105,RPL37B,18,,
2106,RPL38,20,,
2107,RPL39,14,,
2108,RPL40A,13.5,,
2109,RPL40B,11.5,,
2110,RPL42A,12,,
2111,RPL42B,13,,
2112,RPL43A,17,,
2113,RPL43B,13,,
2114,RPL4A,15,,
2115,RPL4B,14.8,,
2116,RPL5,12,,
2117,RPL6A,13,,
2118,RPL6B,12,,
2119,RPL7A,14,,
2120,RPL7B,16.5,,
2121,RPL8A,15,,
2122,RPL8B,13,,
2123,RPL9A,11,,
2124,RPL9B,13,,
2125,RPM2,33,,
2126,RPN1,27,,
2127,RPN10,19,,
2128,RPN11,17,,
2129,RPN12,25,,
2130,RPN2,25,,
2131,RPN3,25,,
2132,RPN4,#N/A-se,,
2133,RPN5,28,,
2134,RPN6,20,,
2135,RPN7,20,,
2136,RPN8,24,,
2137,RPN9,28,,
2138,RPO21,24,,
2139,RPO31,12,,
2140,RPO41,30,,
2141,RPP0,16,,
2142,RPP1,9,,
2143,RPP1A,15,,
2144,RPP1B,12.5,,
2145,RPP2A,12,,
2146,RPP2B,16,,
2147,RPS0A,11.5,,
2148,RPS0B,11,,
2149,RPS10A,12,,
2150,RPS10B,13,,
2151,RPS11A,12.3,,
2152,RPS11B,16,,
2153,RPS12,14,,
2154,RPS13,12,,
2155,RPS14A,18,,
2156,RPS14B,20,,
2157,RPS15,12,,
2158,RPS16A,11,,
2159,RPS16B,11,,
2160,RPS17A,12,,
2161,RPS17B,15,,
2162,RPS18A,13,,
2163,RPS18B,9,,
2164,RPS19A,13,,
2165,RPS19B,13,,
2166,RPS1A,12.5,,
2167,RPS1B,11,,
2168,RPS2,12,,
2169,RPS20,15,,
2170,RPS21A,15,,
2171,RPS21B,13,,
2172,RPS22A,12,,
2173,RPS22B,28.8,,
2174,RPS23A,11.5,,
2175,RPS23B,13,,
2176,RPS24A,14,,
2177,RPS24B,14,,
2178,RPS25A,17,,
2179,RPS25B,12,,
2180,RPS26A,14,,
2181,RPS26B,8,,
2182,RPS27A,14,,
2183,RPS27B,13,,
2184,RPS28A,15.5,,
2185,RPS28B,14,,
2186,RPS29A,14,,
2187,RPS29B,15,,
2188,RPS3,14,,
2189,RPS30A,17,,
2190,RPS30B,16,,
2191,RPS31,15,,
2192,RPS4A,12,,
2193,RPS4B,12,,
2194,RPS5,10,,
2195,RPS6A,12,,
2196,RPS6B,14,,
2197,RPS7A,11.5,,
2198,RPS7B,10.5,,
2199,RPS8A,12,,
2200,RPS8B,11,,
2201,RPS9A,14,,
2202,RPS9B,12,,
2203,RPT1,17,,
2204,RPT2,19,,
2205,RPT3,26,,
2206,RPT4,18,,
2207,RPT5,23,,
2208,RPT6,18,,
2209,RRD1,#N/A-nc,,
2210,RRD2,48,,
2211,RRN10,17,,
2212,RRN11,16,,
2213,RRN3,17,,
2214,RRN5,#N/A-nc,,
2215,RRN6,16,,
2216,RRN7,13,,
2217,RRN9,12,,
2218,RRP1,10,,
2219,RRP3,20,,
2220,RRP4,16,,
2221,RRP41,16,,
2222,RRP42,19,,
2223,RRP43,20,,
2224,RRP5,11,,
2225,RRP6,12,,
2226,RRP7,29,,
2227,RSC1,#N/A-nc,,
2228,RSC2,19,,
2229,RSC4,17,,
2230,RSC6,21,,
2231,RSC8,17,,
2232,RSE1,19,,
2233,RSP5,17,,
2234,RSR1,12,,
2235,RTA1,29,,
2236,RTF1,23,,
2237,RTG1,16,,
2238,RTG2,18,,
2239,RTG3,#N/A-nc,,
2240,RTS1,21,,
2241,RTS2,14,,
2242,RUB1,14.5,,
2243,RUD3,26,,
2244,RVS161,26,,
2245,RVS167,18,,
2246,SAC1,22,,
2247,SAC2,25,,
2248,SAC3,16,,
2249,SAC6,21,,
2250,SAC7,15,,
2251,SAE2,14,,
2252,SAE3,21,,
2253,SAG1,19,,
2254,SAH1,14,,
2255,SAL6,19,,
2256,SAM1,10,,
2257,SAM2,15,,
2258,SAN1,32,,
2259,SAP1,16,,
2260,SAP155,33,,
2261,SAP18,15,,
2262,SAP185,12,,
2263,SAP190,21,,
2264,SAP4,23,,
2265,SAR1,14,,
2266,SAS10,10,,
2267,SAS2,34,,
2268,SAS3,12,,
2269,SAS4,#N/A-nc,,
2270,SAS5,16,,
2271,SAT2,13,,
2272,SAT4,15,,
2273,SBA1,22,,
2274,SBE2,36,,
2275,SBE22,17,,
2276,SBH1,14,,
2277,SBH2,13,,
2278,SBP1,15,,
2279,SCC2,14,,
2280,SCC3,33,,
2281,SCD25,#N/A-se,,
2282,SCD5,16,,
2283,SCD6,17,,
2284,SCH9,15,,
2285,SCJ1,19,,
2286,SCL1,21,,
2287,SCM2,13,,
2288,SCM4,12,,
2289,SCO1,#N/A-nc,,
2290,SCO2,19,,
2291,SCP1,18,,
2292,SCP160,11,,
2293,SCS2,15,,
2294,SCS3,9,,
2295,SCS7,10,,
2296,SCT1,14,,
2297,SCY1,#N/A-nc,,
2298,SDH1,22,,
2299,SDH2,71,,
2300,SDH3,52,,
2301,SDH4,24,,
2302,SDL1,18,,
2303,SDS22,26,,
2304,SDS3,21,,
2305,SEC1,17,,
2306,SEC10,16,,
2307,SEC11,13,,
2308,SEC12,12,,
2309,SEC13,18,,
2310,SEC14,14,,
2311,SEC15,21,,
2312,SEC16,19,,
